PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201620137,01/02/2016 12:00:00 AM,242,F,46,BLACK,HARGRAVE ST / ROSEWOOD AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124595,10072202,CHARLIE,1
201631479,01/03/2016 12:00:00 AM,2309,M,32,BLACK,N IH 35 SVRD SB / REINLI ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124963,10089433,IDA,4
201630266,01/03/2016 12:00:00 AM,717,M,29,HISPANIC OR LATINO,E 2ND ST / TILLERY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125237,10065167,CHARLIE,3
201630266,01/03/2016 12:00:00 AM,717,F,25,WHITE,E 2ND ST / TILLERY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125237,10065167,CHARLIE,3
201610286,01/01/2016 12:00:00 AM,413,F,25,WHITE,4700 S CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106509,10051553,DAVID,3
201620455,01/02/2016 12:00:00 AM,950,M,30,BLACK,800 BLOCK E 6TH ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3117158,10069921,BAKER,3
201630664,01/03/2016 12:00:00 AM,1307,M,46,BLACK,1600 BLOCK E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3119706,10069463,GEORGE,1
201630992,01/03/2016 12:00:00 AM,1729,M,52,BLACK,3000 CHERRYWOOD RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3121960,10077193,CHARLIE,9
201631430,01/03/2016 12:00:00 AM,2323,M,22,HISPANIC OR LATINO,7100 STONLEIGH PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3108798,10038827,FRANK,2
201631519,01/03/2016 12:00:00 AM,2351,F,36,HISPANIC OR LATINO,5000 BLOCK N IH 35 SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124480,10086818,BAKER,4
